iter	Logloss
0	0.6288161062
1	0.5780894905
2	0.54195826
3	0.5196233066
4	0.4960071917
5	0.4785091517
6	0.4643481029
7	0.4532801256
8	0.4429475191
9	0.4342522856
10	0.4284197079
11	0.423537996
12	0.4199777206
13	0.4167709845
14	0.4147033572
15	0.411135162
16	0.4081418244
17	0.4058168603
18	0.4042308731
19	0.4016185532
20	0.3998718159
21	0.3981355046
22	0.3960959256
23	0.3947647938
24	0.3941087288
25	0.3932257456
26	0.3924464744
27	0.391752197
28	0.3907379906
29	0.3901885226
30	0.3900426127
31	0.3899172978
32	0.3888055837
33	0.3884032387
34	0.3871951515
35	0.3870627261
36	0.3865275286
37	0.3864268876
38	0.385666669
39	0.3854700025
40	0.3853621406
41	0.3844931279
42	0.3843461546
43	0.3840114639
44	0.3824951401
45	0.3812777635
46	0.3812070924
47	0.3807708204
48	0.3805802105
49	0.3803554326
50	0.3797195365
51	0.3795679859
52	0.3794754765
53	0.3785671001
54	0.3784473531
55	0.3783635099
56	0.3782120793
57	0.3780575365
58	0.377926923
59	0.3777918152
60	0.377627201
61	0.3772664796
62	0.3771425027
63	0.3770323097
64	0.3767961846
65	0.3763368361
66	0.3759745696
67	0.3757831351
68	0.3756810551
69	0.3755205411
70	0.3753978932
71	0.375269924
72	0.3751187736
73	0.3749818627
74	0.3748635768
75	0.3747286546
76	0.3745150328
77	0.3743942061
78	0.3741637556
79	0.3739656485
80	0.3737675041
81	0.3735978326
82	0.3734672613
83	0.3733555637
84	0.3731871676
85	0.373042887
86	0.3728605584
87	0.3727098503
88	0.3725553851
89	0.3723932292
90	0.3721838971
91	0.3719867706
92	0.37172375
93	0.3715535645
94	0.371336593
95	0.371145325
96	0.3709036664
97	0.3706518863
98	0.3704133361
99	0.3701779106
100	0.3699370003
101	0.3696904082
102	0.3694603746
103	0.3692122187
104	0.3689709135
105	0.368722047
106	0.3684988958
107	0.3682273139
108	0.3679990807
109	0.3677484222
110	0.3675066413
111	0.3672704288
112	0.3670317741
113	0.3668011702
114	0.3665685429
115	0.366297195
116	0.3660714544
117	0.3658539423
118	0.3655938601
119	0.3653790042
120	0.365174019
121	0.3649587779
122	0.364740057
123	0.3645291509
124	0.364315206
125	0.3641066912
126	0.3639001515
127	0.3636937348
128	0.3634898093
129	0.3632873577
130	0.3630868276
131	0.3628857968
132	0.3626873606
133	0.3624910904
134	0.3622948922
135	0.3621004687
136	0.3619075119
137	0.3617154809
138	0.3615242354
139	0.3613344352
140	0.3611450193
141	0.3609569013
142	0.3606980527
143	0.3605113796
144	0.3603257627
145	0.3601482032
146	0.3599637425
147	0.3597803577
148	0.3595977707
149	0.3594164407
150	0.3592364429
151	0.3590567727
152	0.3588778171
153	0.3586999347
154	0.3585226753
155	0.358346238
156	0.3581705976
157	0.3579958811
158	0.3578217697
159	0.3574487527
160	0.3572826693
161	0.3571097355
162	0.3569378058
163	0.3567666873
164	0.3565963793
165	0.3564267605
166	0.3562577995
167	0.3560888136
168	0.355920393
169	0.3557520422
170	0.3549958186
171	0.3548270342
172	0.3546600951
173	0.3544931632
174	0.3543263297
175	0.3540845541
176	0.3539193589
177	0.3537548047
178	0.3535917464
179	0.3534284756
180	0.3532658805
181	0.3531036569
182	0.3529424181
183	0.3527809909
184	0.3526200704
185	0.3524598871
186	0.3523077872
187	0.3521515247
188	0.351993206
189	0.3518352068
190	0.3516782803
191	0.3515208901
192	0.351364387
193	0.3512090979
194	0.3510533904
195	0.3508981157
196	0.3507431021
197	0.3505884727
198	0.3504347191
199	0.3502801019
