iter	Passed	Remaining
0	6	1228
1	12	1253
2	18	1233
3	22	1097
4	28	1117
5	34	1112
6	39	1102
7	45	1100
8	51	1086
9	56	1074
10	61	1063
11	67	1051
12	72	1040
13	77	1034
14	83	1025
15	88	1019
16	94	1012
17	99	1007
18	104	998
19	110	994
20	115	987
21	121	982
22	126	976
23	132	969
24	137	962
25	143	958
26	148	952
27	154	946
28	159	942
29	164	934
30	170	928
31	175	921
32	180	914
33	186	910
34	191	904
35	197	898
36	202	891
37	207	885
38	213	879
39	218	875
40	224	868
41	229	864
42	235	858
43	240	852
44	245	846
45	251	841
46	256	833
47	261	828
48	267	822
49	271	813
50	277	809
51	282	803
52	287	797
53	292	791
54	298	785
55	303	779
56	308	774
57	313	768
58	319	762
59	324	757
60	329	751
61	334	745
62	340	739
63	345	734
64	350	727
65	355	722
66	361	717
67	366	711
68	371	705
69	377	700
70	382	694
71	387	689
72	392	683
73	398	678
74	402	671
75	408	665
76	413	660
77	418	654
78	423	649
79	429	643
80	434	638
81	439	632
82	445	627
83	450	622
84	456	617
85	462	612
86	467	607
87	473	602
88	479	597
89	485	593
90	491	588
91	496	582
92	501	576
93	506	571
94	511	565
95	517	560
96	522	554
97	527	549
98	532	543
99	538	538
100	543	532
101	548	527
102	553	521
103	559	516
104	564	510
105	569	504
106	574	499
107	579	493
108	585	488
109	590	483
110	595	477
111	600	472
112	606	466
113	611	461
114	616	455
115	622	450
116	627	444
117	632	439
118	637	434
119	642	428
120	648	423
121	653	417
122	658	412
123	663	406
124	669	401
125	674	396
126	679	390
127	684	385
128	690	379
129	695	374
130	700	368
131	705	363
132	710	357
133	715	352
134	721	347
135	726	341
136	731	336
137	736	331
138	741	325
139	747	320
140	752	314
141	757	309
142	762	304
143	768	298
144	773	293
145	778	287
146	783	282
147	789	277
148	794	271
149	799	266
150	805	261
151	810	255
152	815	250
153	820	245
154	826	239
155	831	234
156	836	229
157	841	223
158	847	218
159	852	213
160	857	207
161	863	202
162	868	197
163	874	191
164	879	186
165	887	181
166	892	176
167	897	170
168	903	165
169	909	160
170	915	155
171	921	150
172	926	144
173	932	139
174	937	133
175	942	128
176	947	123
177	953	117
178	958	112
179	964	107
180	969	101
181	974	96
182	980	91
183	985	85
184	990	80
185	996	74
186	1001	69
187	1006	64
188	1012	58
189	1017	53
190	1022	48
191	1028	42
192	1033	37
193	1038	32
194	1044	26
195	1049	21
196	1054	16
197	1060	10
198	1065	5
199	1070	0
